Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
2010,6,New York City,Queens,29600,35160000
2010,6,New York City,Richmond,6100,7410000
2010,7,New York City,Bronx,23900,21390000
2010,7,New York City,Kings,39900,38170000
2010,7,New York City,New York,24600,25120000
2010,7,New York City,Queens,31600,31250000
2010,7,New York City,Richmond,7500,7470000
2010,8,New York City,Bronx,24400,26480000
2010,8,New York City,Kings,40800,46380000
2010,8,New York City,New York,25100,29780000
2010,8,New York City,Queens,32100,37340000
2010,8,New York City,Richmond,7700,9260000
2010,9,New York City,Bronx,23800,20750000
2010,9,New York City,Kings,39900,36570000
2010,9,New York City,New York,23900,24550000
2010,9,New York City,Queens,31100,29810000
2010,9,New York City,Richmond,7400,6840000
2010,10,New York City,Bronx,21100,19060000
2010,10,New York City,Kings,34800,33080000
2010,10,New York City,New York,22100,22300000
2010,10,New York City,Queens,27700,27250000
2010,10,New York City,Richmond,6000,6040000
2010,11,New York City,Bronx,21800,23080000
2010,11,New York City,Kings,35500,39250000
2010,11,New York City,New York,22200,25730000
2010,11,New York City,Queens,28400,32500000
2010,11,New York City,Richmond,6100,7140000
2010,12,New York City,Bronx,21600,20150000
2010,12,New York City,Kings,34700,34040000
2010,12,New York City,New York,21700,22570000
2010,12,New York City,Queens,28000,28580000
2010,12,New York City,Richmond,6100,6220000
2011,1,New York City,Bronx,25500,24310000
2011,1,New York City,Kings,41300,40440000
2011,1,New York City,New York,24300,25850000
2011,1,New York City,Queens,33400,34520000
2011,1,New York City,Richmond,7900,7800000
2011,2,New York City,Bronx,22200,20340000
2011,2,New York City,Kings,35800,34340000
2011,2,New York City,New York,22200,22330000
2011,2,New York City,Queens,29900,30040000
2011,2,New York City,Richmond,6300,6470000
2011,3,New York City,Bronx,22000,21400000
2011,3,New York City,Kings,35600,36610000
2011,3,New York City,New York,21800,23840000
2011,3,New York City,Queens,29700,31690000
2011,3,New York City,Richmond,6200,6690000
2011,4,New York City,Bronx,22300,18700000
2011,4,New York City,Kings,36900,32420000
2011,4,New York City,New York,21200,20230000
2011,4,New York City,Queens,29400,27230000
2011,4,New York City,Richmond,6700,5980000
2011,5,New York City,Bronx,20600,20770000
2011,5,New York City,Kings,34100,35630000
2011,5,New York City,New York,20800,23060000
2011,5,New York City,Queens,27600,30220000
2011,5,New York City,Richmond,5900,6450000
2011,6,New York City,Bronx,19400,17890000
2011,6,New York City,Kings,31500,31370000
2011,6,New York City,New York,20400,21410000
2011,6,New York City,Queens,25400,26590000
2011,6,New York City,Richmond,5400,5650000
2011,7,New York City,Bronx,22500,19290000
2011,7,New York City,Kings,37000,33810000
2011,7,New York City,New York,21900,21540000
2011,7,New York City,Queens,28400,27080000
2011,7,New York City,Richmond,6700,6270000
2011,8,New York City,Bronx,23000,24260000
2011,8,New York City,Kings,37800,42360000
2011,8,New York City,New York,22400,26140000
2011,8,New York City,Queens,28900,33230000
2011,8,New York City,Richmond,6800,7910000
2011,9,New York City,Bronx,22100,18360000
2011,9,New York City,Kings,36700,32110000
2011,9,New York City,New York,21600,21220000
2011,9,New York City,Queens,27900,25960000
2011,9,New York City,Richmond,6500,5570000
2011,10,New York City,Bronx,20100,19500000
2011,10,New York City,Kings,32500,32860000
2011,10,New York City,New York,20600,22080000
2011,10,New York City,Queens,25600,27100000
2011,10,New York City,Richmond,5300,5540000
2011,11,New York City,Bronx,20000,18720000
2011,11,New York City,Kings,31900,32190000
2011,11,New York City,New York,20400,22030000
2011,11,New York City,Queens,25400,26740000
2011,11,New York City,Richmond,5200,5480000
2011,12,New York City,Bronx,20300,18420000
2011,12,New York City,Kings,32000,30960000
2011,12,New York City,New York,20500,21200000
2011,12,New York City,Queens,25700,25970000
2011,12,New York City,Richmond,5300,5410000
2012,1,New York City,Bronx,24500,23740000
2012,1,New York City,Kings,39100,39350000
2012,1,New York City,New York,23600,26500000
2012,1,New York City,Queens,31200,33290000
2012,1,New York City,Richmond,7100,7050000
2012,2,New York City,Bronx,22000,20190000
2012,2,New York City,Kings,34400,33030000
2012,2,New York City,New York,22000,22650000
2012,2,New York City,Queens,28500,28750000
2012,2,New York City,Richmond,5700,5800000
2012,3,New York City,Bronx,21600,20070000
2012,3,New York City,Kings,33300,32800000
2012,3,New York City,New York,21700,22760000
2012,3,New York City,Queens,27900,28260000
2012,3,New York City,Richmond,5500,5790000
2012,4,New York City,Bronx,22800,21080000
2012,4,New York City,Kings,36700,35370000
2012,4,New York City,New York,22100,23570000
2012,4,New York City,Queens,29300,29770000
2012,4,New York City,Richmond,6700,6340000
